LIMA_CENTRO	0	12.4	15.8	3.1	12.5	17.4	8.6	9.7	17	9.6
LINCE	    12.4	0	4.1	9.1	8.3	17.5	12.4	1.9	6.5	9.6
MIRAFLORES	15.8	4.1	0	4.5	14.4	24.3	15.5	7.5	7.5	7
BARRANCO	3.1	9.1	4.5	0	16.6	26.5	17.9	10.8	13	10.1
RIMAC	    12.5	8.3	14.4	16.6	0	12.4	19.1	9.1	10.5	16.8
LOS_OLIVOS	17.4	17.5	24.3	26.5	12.4	0	27.3	17.4	18.5	26.8
LA_MOLINA	8.6	12.4	15.5	17.9	19.1	27.3	0	13.1	26	9.6
LA_VICTORIA	9.7	1.9	7.5	10.8	9.1	17.4	13.1	0	7.1	10.6
MAGDALENA	17	6.5	7.5	13	10.5	18.5	26	7.1	0	13.3
SAN_BORJA	9.6	9.6	7	10.1	16.8	26.8	9.6	10.6	13.3	0
